Name,Unit,Query,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,978,120537,76869,61541,120537,61541,61541,61541,61541,61541,61541
Partitions scanned,,979,122071,90461,61109,122071,61109,61109,61109,61109,61109,61109
Partitions scanned,,980,122071,82715,61092,122071,61092,61092,61092,61092,61092,61092
Partitions scanned,,981,122071,88646,91902,122071,60668,60668,60668,60668,60668,60668
Partitions scanned,,982,122071,90691,61039,122071,61039,61039,61039,61039,61039,61039
Partitions scanned,,983,122071,81275,91646,122071,60538,60538,60538,60538,60538,60538
Partitions scanned,,984,122071,90371,61240,122071,61240,61240,61240,61240,61240,61240
Partitions scanned,,985,118696,91547,60914,118696,60914,60914,60914,60914,60914,60914
Partitions scanned,,986,122071,84471,61013,122071,61013,61013,61013,61013,61013,61013
Partitions scanned,,987,122071,90371,61240,122071,61240,61240,61240,61240,61240,61240
Partitions scanned,,988,122071,88986,60959,122071,60959,60959,60959,60959,60959,60959
Partitions scanned,,989,122071,90461,61109,122071,61109,61109,61109,61109,61109,61109
Partitions scanned,,990,115036,76260,60861,115036,60861,60861,60861,60861,60861,60861
Partitions scanned,,991,122071,87206,60969,122071,60969,60969,60969,60969,60969,60969
Partitions scanned,,992,122071,84471,61013,122071,61013,61013,61013,61013,61013,61013
Partitions scanned,,993,122056,77153,61101,122056,61101,61101,61101,61101,61101,61101
Partitions scanned,,994,122071,77741,60960,122071,60960,60960,60960,60960,60960,60960
Partitions scanned,,995,121765,76901,61188,121765,61188,61188,61188,61188,61188,61188
Partitions scanned,,996,122071,80442,60810,122071,60810,60810,60810,60810,60810,60810
Partitions scanned,,997,122071,89230,60989,122071,60989,60989,60989,60989,60989,60989
Partitions scanned,,998,122071,88349,61360,122071,61360,61360,61360,61360,61360,61360
Partitions scanned,,999,122071,87537,60914,122071,60914,60914,60914,60914,60914,60914
Partitions scanned,,1000,122071,84184,61129,122071,61129,61129,61129,61129,61129,61129
